t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch,abs_roll,abs_pitch,force_L,force_R,force
0,0.035921573638916016,0.5,0.0,0.0,0.2576167583465576,-0.20461033284664154,0.15833911299705505,3.141310214996338,0.0060682701878249645,3.141310214996338,0.0060682701878249645,0.0,0.0,0.0
1,0.35281848907470703,0.5,0.0,0.0,0.25001776218414307,-0.2126029133796692,0.15710151195526123,-3.138258934020996,0.015580089762806892,3.138258934020996,0.015580089762806892,0.0,0.0,0.0
2,0.3833811283111572,0.5,0.0,0.0,0.24149943888187408,-0.22377967834472656,0.17224174737930298,-3.1303765773773193,0.025154095143079758,3.1303765773773193,0.025154095143079758,0.0,0.0,0.0
3,0.41481542587280273,0.5,0.0,0.0,0.22777880728244781,-0.23433881998062134,0.23822356760501862,-3.1212668418884277,0.034842584282159805,3.1212668418884277,0.034842584282159805,0.0,0.0,0.0
4,0.42667579650878906,0.5,0.0,0.0,0.2092057168483734,-0.24179424345493317,0.2796415090560913,-3.115224838256836,0.0452730655670166,3.115224838256836,0.0452730655670166,0.0,0.0,0.0
5,0.46042513847351074,0.5,0.0,0.0,0.19140270352363586,-0.2464989572763443,0.22370797395706177,-3.1146106719970703,0.05317509174346924,3.1146106719970703,0.05317509174346924,0.0,0.0,0.0
6,0.47220849990844727,0.5,0.0,0.0,0.16662195324897766,-0.2446453720331192,0.12799802422523499,-3.1183278560638428,0.05965964123606682,3.1183278560638428,0.05965964123606682,0.0,0.0,0.0
7,0.5060935020446777,0.5,0.0,0.0,0.1298903524875641,-0.2403629720211029,0.0411684587597847,-3.1243691444396973,0.0694270133972168,3.1243691444396973,0.0694270133972168,0.0,0.0,0.0
8,0.519101619720459,0.5,0.0,0.0,0.11092820018529892,-0.32454735040664673,-0.3578205108642578,-3.129267930984497,0.08447244018316269,3.129267930984497,0.08447244018316269,2180.398681640625,0.0,0.0
9,0.5877647399902344,0.5,0.0,0.0,0.12314453721046448,-0.44464683532714844,0.04724952578544617,-3.0850701332092285,0.08288177102804184,3.0850701332092285,0.08288177102804184,269.0575256347656,0.0,0.0
