t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch,force_L,force_R,external_force
0,0.03493309020996094,0.5,0.0,0.0,0.2576167583465576,-0.20461033284664154,0.15833911299705505,3.141310214996338,0.0060682701878249645,0.0,0.0,20.06608009338379
1,0.35353851318359375,0.5,0.0,0.0,0.2830795645713806,-0.2004881501197815,0.18566611409187317,-3.1390554904937744,0.012605441734194756,0.0,0.0,37.39809036254883
2,0.38390064239501953,0.5,0.0,0.0,0.2902536392211914,-0.24799756705760956,0.13977402448654175,-3.1334567070007324,0.018444642424583435,0.0,0.0,40.852542877197266
3,0.41488146781921387,0.5,0.0,0.0,0.24976855516433716,-0.213124081492424,0.22271661460399628,-3.127074956893921,0.027072984725236893,0.0,0.0,44.0420036315918
4,0.42647671699523926,0.5,0.0,0.0,0.2790876030921936,-0.2235109955072403,0.22180679440498352,-3.121399164199829,0.03533705696463585,0.0,0.0,10.649862289428711
5,0.4583103656768799,0.5,0.0,0.0,0.25848716497421265,-0.2203475832939148,0.18050000071525574,-3.121781826019287,0.0445537269115448,0.0,0.0,65.98572540283203
6,0.4695854187011719,0.5,0.0,0.0,0.18630434572696686,-0.2620551288127899,0.01433274894952774,-3.129685640335083,0.05386379733681679,0.0,0.0,33.64252853393555
7,0.4995608329772949,0.5,0.0,0.0,0.1485469937324524,-0.30008089542388916,-0.02722117304801941,-3.1364331245422363,0.06786159425973892,0.0,0.0,56.20022201538086
8,0.5109741687774658,0.5,0.0,0.0,0.13296139240264893,-0.3556852638721466,-0.1926298439502716,-3.1315507888793945,0.08170110732316971,0.0,0.0,28.024717330932617
9,0.5420973300933838,0.5,0.0,0.0,0.18663959205150604,-0.4400874078273773,0.07254655659198761,-3.087785482406616,0.07326741516590118,182.8485565185547,0.0,9.081604957580566
10,0.553410530090332,0.5,0.0,0.0,0.2221873253583908,-0.44317564368247986,-0.12907777726650238,-3.046323299407959,0.06439687311649323,103.42955780029297,331.67596435546875,26.96124839782715
11,0.5958688259124756,0.5,0.0,0.0,0.19679345190525055,-0.3035435676574707,-0.014223933219909668,-3.0414226055145264,0.06294585764408112,60.803802490234375,398.5163879394531,31.079561233520508
12,0.6070334911346436,0.5,0.0,0.0,0.15416564047336578,-0.1588774025440216,0.1386280506849289,-3.0718510150909424,0.07722683250904083,0.0,414.498291015625,9.90694808959961
13,0.6506829261779785,0.5,0.0,0.0,0.16853950917720795,-0.04184664413332939,0.23238329589366913,-3.1157989501953125,0.08862779289484024,0.0,382.96612548828125,25.197423934936523
14,0.662376880645752,0.5,0.0,0.0,0.1814521849155426,0.07548101246356964,0.316852331161499,3.126966953277588,0.09271830320358276,0.0,326.2914733886719,14.701042175292969
15,0.720268726348877,0.5,0.0,0.0,0.19160819053649902,0.13397234678268433,0.2965133488178253,3.09734845161438,0.0897168517112732,0.0,270.7114562988281,34.503700256347656
16,0.7385122776031494,0.5,0.0,0.0,0.1920718103647232,0.1416412889957428,0.2663751244544983,3.079202175140381,0.08339513838291168,0.0,230.41102600097656,32.32688522338867
17,0.7685966491699219,0.5,0.0,0.0,0.20992082357406616,0.20400822162628174,0.24009409546852112,3.067288398742676,0.08493202924728394,0.0,221.07208251953125,55.09003448486328
18,0.7798893451690674,0.5,0.0,0.0,0.18151892721652985,0.2752697169780731,0.14538368582725525,3.062871217727661,0.09655029326677322,0.0,205.27293395996094,35.93864440917969
19,0.8078217506408691,0.5,0.0,0.0,0.20415905117988586,0.29635223746299744,-0.3051001727581024,3.0655126571655273,0.10673385113477707,621.0934448242188,190.64208984375,42.35273742675781
20,0.8197743892669678,0.5,0.0,0.0,0.304707795381546,0.19195100665092468,-0.046595312654972076,3.0672709941864014,0.09860281646251678,37.70357894897461,89.72211456298828,31.164966583251953
21,0.8465731143951416,0.5,0.0,0.0,0.2529892027378082,0.1630823314189911,-0.04607497155666351,3.0770835876464844,0.09948581457138062,222.22886657714844,21.040691375732422,50.19942092895508
22,0.8575243949890137,0.5,0.0,0.0,0.2728613018989563,0.16916081309318542,0.16742964088916779,3.085299491882324,0.10174427926540375,179.54498291015625,0.0,54.648521423339844
23,0.882681131362915,0.5,0.0,0.0,0.29764434695243835,0.17986799776554108,0.35330426692962646,3.088703155517578,0.09914084523916245,152.70431518554688,0.0,35.16994094848633
24,0.8927502632141113,0.5,0.0,0.0,0.2884596586227417,0.1820887178182602,0.3522339463233948,3.0890586376190186,0.09101183712482452,139.61216735839844,0.0,38.8152961730957
25,0.9180266857147217,0.5,0.0,0.0,0.3429316580295563,0.12391775846481323,0.18581682443618774,3.0893473625183105,0.07764069736003876,157.97732543945312,0.0,59.4112663269043
26,0.9280719757080078,0.5,0.0,0.0,0.29891055822372437,0.03428695350885391,-0.10998736321926117,3.093189001083374,0.06622420996427536,180.1539764404297,0.0,59.09906768798828
27,0.9526956081390381,0.5,0.0,0.0,0.35301366448402405,0.02301393449306488,-0.10043810307979584,3.101576089859009,0.058901816606521606,206.02870178222656,0.0,57.99312973022461
28,0.9632384777069092,0.5,0.0,0.0,0.4055973291397095,0.010364468209445477,0.07824911177158356,3.1111583709716797,0.05645567551255226,230.90493774414062,0.0,45.277156829833984
29,0.9878025054931641,0.5,0.0,0.0,0.3704363703727722,-0.04675009846687317,0.16490991413593292,3.1230788230895996,0.06042006239295006,208.14955139160156,0.0,26.580013275146484
30,0.9980309009552002,0.5,0.0,0.0,0.4455619156360626,-0.07631738483905792,-0.08081667125225067,3.1373610496520996,0.05677710101008415,120.77552032470703,170.2120819091797,41.06160354614258
31,1.023852825164795,0.5,0.0,0.0,0.47940000891685486,-0.08467630296945572,-0.18725086748600006,-3.137350559234619,0.046524278819561005,0.0,199.73143005371094,29.271507263183594
32,1.0339844226837158,0.5,0.0,0.0,0.521276593208313,-0.03808211535215378,-0.03974168002605438,-3.1355063915252686,0.036314457654953,0.0,185.259765625,18.821701049804688
33,1.060694694519043,0.5,0.0,0.0,0.535998523235321,0.004209319595247507,0.19006048142910004,-3.1338298320770264,0.024643709883093834,0.0,184.51632690429688,26.45144271850586
34,1.0720734596252441,0.5,0.0,0.0,0.5997568368911743,0.03113061748445034,0.3016265034675598,-3.131030321121216,0.011297476477921009,0.0,192.9545440673828,47.82427215576172
35,1.1016552448272705,0.5,0.0,0.0,0.6068148612976074,0.09998559951782227,0.5019806623458862,-3.12548565864563,0.0018601646879687905,0.0,193.99301147460938,58.731868743896484
36,1.1125633716583252,0.5,0.0,0.0,0.698418140411377,0.1605728566646576,0.6446887850761414,-3.1167190074920654,-0.012060809880495071,0.0,174.3669891357422,41.44375228881836
37,1.1401443481445312,0.5,0.0,0.0,0.6700591444969177,0.12501822412014008,0.6646718382835388,-3.1064820289611816,-0.024403078481554985,0.0,125.18916320800781,45.854225158691406
38,1.1541087627410889,0.5,0.0,0.0,0.6890813708305359,0.060895394533872604,0.6673204898834229,-3.0961833000183105,-0.030612317845225334,0.0,88.23440551757812,42.67132568359375
39,1.1804869174957275,0.5,0.0,0.0,0.5801118016242981,0.10940562188625336,0.4933836758136749,-3.0967259407043457,-0.024715105071663857,679.2860717773438,70.78244018554688,34.2721061706543
