t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch
0,0.03229951858520508,0.5365741848945618,0.0,0.0,-0.10458626598119736,-0.011086194775998592,-0.16931463778018951,3.138014078140259,-0.0176299586892128
1,0.2573549747467041,0.5365741848945618,0.0,0.0,-0.07325274497270584,-0.011819279752671719,-0.09138424694538116,3.1344399452209473,-0.059585604816675186
2,0.28949427604675293,0.5365741848945618,0.0,0.0,-0.047315116971731186,-0.009722955524921417,-0.03378478065133095,3.1292243003845215,-0.11196412146091461
3,0.3264799118041992,0.5365741848945618,0.0,0.0,-0.011515825986862183,-0.000583915039896965,-0.011961102485656738,3.1222383975982666,-0.1617600917816162
4,0.33819031715393066,0.5365741848945618,0.0,0.0,0.040490977466106415,0.012418518774211407,-0.04408305138349533,3.1137356758117676,-0.2050655633211136
5,0.3805966377258301,0.5365741848945618,0.0,0.0,0.10518538951873779,0.026975087821483612,-0.1224752739071846,3.105480194091797,-0.24120548367500305
6,0.39270949363708496,0.5365741848945618,0.0,0.0,0.17151589691638947,0.04144235700368881,-0.1837431937456131,3.0987987518310547,-0.268047958612442
7,0.43087124824523926,0.5365741848945618,0.0,0.0,0.22080029547214508,0.05343347787857056,-0.3961552083492279,3.092526435852051,-0.27765148878097534
8,0.4491536617279053,0.5365741848945618,0.0,0.0,0.2101094275712967,0.06825951486825943,-0.7361303567886353,3.08487606048584,-0.2545865476131439
9,0.4912419319152832,0.5365741848945618,0.0,0.0,0.14142198860645294,-0.2075660228729248,0.7503820657730103,3.137284755706787,-0.23213694989681244
10,0.5073287487030029,0.5365741848945618,0.0,0.0,0.09816711395978928,-0.23025858402252197,0.18290576338768005,-3.0676887035369873,-0.2059226632118225
11,0.5623807907104492,0.5365741848945618,0.0,0.0,0.097873255610466,-0.13767364621162415,-0.2669706344604492,-3.0408859252929688,-0.18084506690502167
12,0.579077959060669,0.5365741848945618,0.0,0.0,0.10988660156726837,-0.03744036331772804,-0.15878039598464966,-3.038562059402466,-0.17464597523212433
13,0.6134634017944336,0.5365741848945618,0.0,0.0,0.12498867511749268,0.04911759868264198,0.17637979984283447,-3.036975622177124,-0.17860157787799835
14,0.6309654712677002,0.5365741848945618,0.0,0.0,0.15488307178020477,0.11425615847110748,0.48519718647003174,-3.034294605255127,-0.18872061371803284
15,0.6642506122589111,0.5365741848945618,0.0,0.0,0.18787823617458344,0.15974774956703186,0.6899043321609497,-3.0367586612701416,-0.2014329433441162
16,0.6800930500030518,0.5365741848945618,0.0,0.0,0.21177154779434204,0.18248283863067627,0.8349733352661133,-3.048802614212036,-0.2089272141456604
17,0.7108480930328369,0.5365741848945618,0.0,0.0,0.2335001528263092,0.1937749683856964,0.8385897874832153,-3.071803331375122,-0.20460455119609833
18,0.72591233253479,0.5365741848945618,0.0,0.0,0.25259098410606384,0.20030610263347626,0.5470836162567139,-3.1019999980926514,-0.19448210299015045
19,0.7579066753387451,0.5365741848945618,0.0,0.0,0.2715705633163452,0.16910028457641602,0.5437906980514526,-3.11826753616333,-0.1928449422121048
20,0.7744667530059814,0.5365741848945618,0.0,0.0,0.28524914383888245,0.12360464036464691,0.4138171374797821,-3.115664005279541,-0.19082769751548767
21,0.8092825412750244,0.5365741848945618,0.0,0.0,0.2951045334339142,0.07417906820774078,0.1222352534532547,-3.1067090034484863,-0.1879505068063736
22,0.8257453441619873,0.5365741848945618,0.0,0.0,0.3052946627140045,0.03328772261738777,-0.1055346429347992,-3.1010446548461914,-0.18161211907863617
23,0.865260124206543,0.5365741848945618,0.0,0.0,0.32626745104789734,0.005628515966236591,-0.15256310999393463,-3.10028338432312,-0.17217232286930084
24,0.8830804824829102,0.5365741848945618,0.0,0.0,0.35875558853149414,-0.016582515090703964,-0.027958765625953674,-3.1001763343811035,-0.16212007403373718
25,0.9144575595855713,0.5365741848945618,0.0,0.0,0.4015127420425415,-0.035961732268333435,0.1488111913204193,-3.0970189571380615,-0.15379366278648376
26,0.9284601211547852,0.5365741848945618,0.0,0.0,0.4372965693473816,-0.05728568136692047,0.1957157999277115,-3.090320110321045,-0.1476302146911621
27,0.9596562385559082,0.5365741848945618,0.0,0.0,0.4676525592803955,-0.07964704930782318,0.024396143853664398,-3.0811164379119873,-0.13866746425628662
28,0.976581335067749,0.5365741848945618,0.0,0.0,0.4754803478717804,-0.09022001177072525,-0.11289498209953308,-3.072411298751831,-0.12895429134368896
29,1.0179784297943115,0.5365741848945618,0.0,0.0,0.4749283790588379,-0.07837148010730743,-0.11733447015285492,-3.064725637435913,-0.1135411486029625
30,1.0370726585388184,0.5365741848945618,0.0,0.0,0.47946909070014954,-0.04575921222567558,-0.007865257561206818,-3.065502405166626,-0.10127268731594086
31,1.0710835456848145,0.5365741848945618,0.0,0.0,0.49916595220565796,-0.016135457903146744,0.09631910920143127,-3.070939064025879,-0.10102804005146027
