t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch
0,0.027449369430541992,0.5667065382003784,0.0,0.0,-0.059673670679330826,0.018824419006705284,0.2870471775531769,-3.137068033218384,-0.0030381004326045513
1,0.2770974636077881,0.5667065382003784,0.0,0.0,-0.05375421419739723,0.01316412165760994,0.11016151309013367,-3.1260480880737305,-0.0224283616989851
2,0.3102879524230957,0.5667065382003784,0.0,0.0,-0.052516818046569824,0.007621541619300842,0.02793481945991516,-3.11429762840271,-0.044207897037267685
3,0.3434269428253174,0.5667065382003784,0.0,0.0,-0.04529555141925812,0.0024977540597319603,0.08521950989961624,-3.1060454845428467,-0.06222693994641304
4,0.3569648265838623,0.5667065382003784,0.0,0.0,-0.033050213009119034,-0.0012027760967612267,0.21993328630924225,-3.10141658782959,-0.07604479044675827
5,0.38892197608947754,0.5667065382003784,0.0,0.0,-0.010152296163141727,-0.006241965107619762,0.3666073679924011,-3.0993547439575195,-0.08729081600904465
6,0.40927720069885254,0.5667065382003784,0.0,0.0,0.007890556007623672,-0.0073104556649923325,0.48600590229034424,-3.1014785766601562,-0.09597539156675339
7,0.4561312198638916,0.5667065382003784,0.0,0.0,0.018204303458333015,-0.005520518869161606,0.5501397848129272,-3.106248140335083,-0.09627439081668854
8,0.46908020973205566,0.5667065382003784,0.0,0.0,0.011513959616422653,0.00013015791773796082,0.48232826590538025,-3.1140925884246826,-0.08276936411857605
9,0.4998011589050293,0.5667065382003784,0.0,0.0,-0.05658555403351784,0.009430202655494213,0.4426160454750061,-3.123075246810913,-0.04650517553091049
10,0.5112967491149902,0.5667065382003784,0.0,0.0,0.05620558187365532,-0.1975226253271103,-0.03367087244987488,-3.0966410636901855,-0.00976463034749031
11,0.5582795143127441,0.5667065382003784,0.0,0.0,0.0030920212157070637,-0.11901021003723145,0.09771948307752609,-3.0303518772125244,-0.022708836942911148
12,0.5705907344818115,0.5667065382003784,0.0,0.0,-0.03280574083328247,-0.006842516362667084,0.17718981206417084,-3.0088250637054443,-0.02178899757564068
13,0.5997493267059326,0.5667065382003784,0.0,0.0,-0.04916403070092201,0.0581846684217453,0.10725121200084686,-3.001831293106079,-0.027935268357396126
14,0.6119544506072998,0.5667065382003784,0.0,0.0,-0.06524161994457245,0.07281241565942764,0.006058515980839729,-2.9902915954589844,-0.037385243922472
15,0.6477870941162109,0.5667065382003784,0.0,0.0,-0.07728032767772675,0.0697140172123909,-0.17468705773353577,-2.9776389598846436,-0.03963680937886238
16,0.6584227085113525,0.5667065382003784,0.0,0.0,-0.07472816854715347,0.07408402860164642,-0.1390298306941986,-2.9774575233459473,-0.037115007638931274
17,0.6888751983642578,0.5667065382003784,0.0,0.0,-0.05731295794248581,0.09221719950437546,0.12088212370872498,-2.9987101554870605,-0.03641042858362198
18,0.7006816864013672,0.5667065382003784,0.0,0.0,0.015223042108118534,0.07906554639339447,-0.0922805666923523,-3.026991844177246,-0.04430920258164406
19,0.7340409755706787,0.5667065382003784,0.0,0.0,0.07043460011482239,0.0627671331167221,-0.05769525095820427,-3.038001775741577,-0.06428773701190948
20,0.7502515316009521,0.5667065382003784,0.0,0.0,0.1239369809627533,0.03413265198469162,0.023994140326976776,-3.0317535400390625,-0.07914814352989197
21,0.7841002941131592,0.5667065382003784,0.0,0.0,0.18419913947582245,0.0133577985689044,0.07054807990789413,-3.022165536880493,-0.0870404839515686
22,0.8068697452545166,0.5667065382003784,0.0,0.0,0.24456366896629333,-0.0009945158381015062,0.02939334698021412,-3.019144058227539,-0.09720026701688766
23,0.8361725807189941,0.5667065382003784,0.0,0.0,0.2858186662197113,-0.014006833545863628,-0.030500255525112152,-3.020541191101074,-0.11181198805570602
24,0.8487441539764404,0.5667065382003784,0.0,0.0,0.3166499733924866,-0.035136833786964417,-0.06183122098445892,-3.0183582305908203,-0.12328566610813141
25,0.8816912174224854,0.5667065382003784,0.0,0.0,0.3447408080101013,-0.04430988058447838,-0.2036798596382141,-3.0116078853607178,-0.1293875277042389
26,0.8938288688659668,0.5667065382003784,0.0,0.0,0.3552471995353699,-0.03950109705328941,-0.18207567930221558,-3.0086700916290283,-0.1318289041519165
27,0.9255459308624268,0.5667065382003784,0.0,0.0,0.371346652507782,-0.02421535924077034,-0.02355758100748062,-3.011199951171875,-0.13121870160102844
28,0.9396710395812988,0.5667065382003784,0.0,0.0,0.3933153450489044,-0.0036178622394800186,0.136618971824646,-3.017425298690796,-0.13626928627490997
29,0.968620777130127,0.5667065382003784,0.0,0.0,0.4118767976760864,0.0232144296169281,0.2550309896469116,-3.025639772415161,-0.14691326022148132
30,0.97991943359375,0.5667065382003784,0.0,0.0,0.43612024188041687,0.05076683312654495,0.4529806673526764,-3.0353639125823975,-0.15978318452835083
31,1.0100395679473877,0.5667065382003784,0.0,0.0,0.45405200123786926,0.06827402114868164,0.5733593702316284,-3.045933485031128,-0.171233132481575
32,1.0222525596618652,0.5667065382003784,0.0,0.0,0.46395325660705566,0.08154088258743286,0.6198427081108093,-3.057040214538574,-0.17649540305137634
33,1.0507919788360596,0.5667065382003784,0.0,0.0,0.4704333543777466,0.09813759475946426,0.4995172321796417,-3.0698907375335693,-0.17287547886371613
34,1.061659574508667,0.5667065382003784,0.0,0.0,0.47828930616378784,0.11251938343048096,0.23959597945213318,-3.083461284637451,-0.17008645832538605
35,1.117522954940796,0.5667065382003784,0.0,0.0,0.46654555201530457,0.10826251655817032,0.11852297931909561,-3.0938313007354736,-0.17119216918945312
36,1.1290757656097412,0.5667065382003784,0.0,0.0,0.4376494884490967,0.08907260000705719,0.14200159907341003,-3.104785919189453,-0.15927046537399292
37,1.1593396663665771,0.5667065382003784,0.0,0.0,0.4243626892566681,0.05375131964683533,0.16838787496089935,-3.1080427169799805,-0.14082784950733185
38,1.1735217571258545,0.5667065382003784,0.0,0.0,0.4215727746486664,0.010217946022748947,0.012514619156718254,-3.1014552116394043,-0.1284707635641098
39,1.2032949924468994,0.5667065382003784,0.0,0.0,0.4203774034976959,-0.024564234539866447,-0.07311179488897324,-3.0925822257995605,-0.12301521748304367
40,1.219123125076294,0.5667065382003784,0.0,0.0,0.419972687959671,-0.04927196353673935,-0.13854847848415375,-3.085845708847046,-0.11797545105218887
41,1.2517738342285156,0.5667065382003784,0.0,0.0,0.42328599095344543,-0.06990746408700943,-0.15337203443050385,-3.0822255611419678,-0.1096038743853569
42,1.2703444957733154,0.5667065382003784,0.0,0.0,0.4296034574508667,-0.08932474255561829,-0.16030314564704895,-3.079604387283325,-0.09819003939628601
43,1.3032057285308838,0.5667065382003784,0.0,0.0,0.4465309977531433,-0.10617361217737198,-0.08774127066135406,-3.076536178588867,-0.0834168940782547
44,1.3152120113372803,0.5667065382003784,0.0,0.0,0.4505319893360138,-0.10090553760528564,-0.07205192744731903,-3.0750255584716797,-0.07500927150249481
45,1.343761920928955,0.5667065382003784,0.0,0.0,0.44598668813705444,-0.08323173224925995,0.04681204631924629,-3.0734775066375732,-0.06241071969270706
46,1.3586595058441162,0.5667065382003784,0.0,0.0,0.45802953839302063,-0.05070975422859192,0.1513945460319519,-3.0728371143341064,-0.050003781914711
47,1.3922522068023682,0.5667065382003784,0.0,0.0,0.48393261432647705,-0.01732758805155754,0.16978178918361664,-3.075486660003662,-0.04847631976008415
48,1.4061839580535889,0.5667065382003784,0.0,0.0,0.5054258108139038,0.01133736316114664,0.1993739902973175,-3.0808613300323486,-0.05540883168578148
49,1.4353713989257812,0.5667065382003784,0.0,0.0,0.524331271648407,0.03170677274465561,0.2734828293323517,-3.086531400680542,-0.06152409315109253
50,1.449786901473999,0.5667065382003784,0.0,0.0,0.5380995869636536,0.0467342808842659,0.36261826753616333,-3.0905261039733887,-0.06437431275844574
51,1.478740930557251,0.5667065382003784,0.0,0.0,0.5488553047180176,0.05549244582653046,0.4486270248889923,-3.0933308601379395,-0.0639004185795784
52,1.4944109916687012,0.5667065382003784,0.0,0.0,0.5551251769065857,0.05605851858854294,0.48793619871139526,-3.0969367027282715,-0.056967128068208694
53,1.526667833328247,0.5667065382003784,0.0,0.0,0.5418491363525391,0.05922287330031395,0.23645436763763428,-3.105243444442749,-0.045458316802978516
54,1.5420596599578857,0.5667065382003784,0.0,0.0,0.5326035618782043,0.0548161044716835,0.20493997633457184,-3.1114003658294678,-0.04092860221862793
55,1.5721101760864258,0.5667065382003784,0.0,0.0,0.5095750689506531,0.035038720816373825,0.23004893958568573,-3.114039897918701,-0.03318115696310997
56,1.5855913162231445,0.5667065382003784,0.0,0.0,0.48365160822868347,0.003690108424052596,0.022025788202881813,-3.109043836593628,-0.023967638611793518
57,1.6153714656829834,0.5667065382003784,0.0,0.0,0.4638562500476837,-0.0203249529004097,-0.07761399447917938,-3.100771903991699,-0.016152463853359222
58,1.6352825164794922,0.5667065382003784,0.0,0.0,0.4500749111175537,-0.0374981127679348,-0.1021149680018425,-3.0940394401550293,-0.006955855526030064
59,1.6653878688812256,0.5667065382003784,0.0,0.0,0.44669029116630554,-0.04837692901492119,-0.09267392754554749,-3.0902624130249023,0.004152372013777494
60,1.6760096549987793,0.5667065382003784,0.0,0.0,0.4485815465450287,-0.057390522211790085,-0.04833259433507919,-3.0890777111053467,0.014595385640859604
61,1.707503080368042,0.5667065382003784,0.0,0.0,0.45321419835090637,-0.07192634791135788,0.06586674600839615,-3.0887606143951416,0.025352943688631058
62,1.719109058380127,0.5667065382003784,0.0,0.0,0.4529905617237091,-0.06008389592170715,0.04029042273759842,-3.0900001525878906,0.03130039945244789
63,1.748399257659912,0.5667065382003784,0.0,0.0,0.44635647535324097,-0.043858014047145844,0.014018137007951736,-3.0905001163482666,0.04126976430416107
64,1.7613623142242432,0.5667065382003784,0.0,0.0,0.45011571049690247,-0.015099456533789635,-0.00467086723074317,-3.0913853645324707,0.051448993384838104
65,1.793778896331787,0.5667065382003784,0.0,0.0,0.46108052134513855,0.015803854912519455,0.05623134225606918,-3.0972723960876465,0.054132863879203796
66,1.8058662414550781,0.5667065382003784,0.0,0.0,0.474063515663147,0.038341671228408813,0.1582893282175064,-3.104346990585327,0.04782675579190254
67,1.8339018821716309,0.5667065382003784,0.0,0.0,0.48190444707870483,0.05077281966805458,0.21861068904399872,-3.1083931922912598,0.038316842168569565
68,1.844437599182129,0.5667065382003784,0.0,0.0,0.48379626870155334,0.06395959109067917,0.25246429443359375,-3.108670473098755,0.030564438551664352
69,1.8761484622955322,0.5667065382003784,0.0,0.0,0.48540589213371277,0.08066000044345856,0.2516357898712158,-3.1079812049865723,0.02688959613442421
70,1.8918845653533936,0.5667065382003784,0.0,0.0,0.44984859228134155,0.10845927894115448,0.22166278958320618,-3.1107900142669678,0.028019435703754425
71,1.9277243614196777,0.5667065382003784,0.0,0.0,0.4676211476325989,0.09834245592355728,0.2111242413520813,-3.115522861480713,0.024119842797517776
72,1.9427721500396729,0.5667065382003784,0.0,0.0,0.4524737000465393,0.08046035468578339,0.24179263412952423,-3.115234613418579,0.025494905188679695
73,1.9742913246154785,0.5667065382003784,0.0,0.0,0.44214698672294617,0.053402237594127655,0.13357998430728912,-3.109497308731079,0.03189486637711525
74,1.9872629642486572,0.5667065382003784,0.0,0.0,0.43282216787338257,0.02562231570482254,-0.03646647185087204,-3.1023411750793457,0.03665858507156372
75,2.022092819213867,0.5667065382003784,0.0,0.0,0.4307634234428406,0.009214312769472599,-0.09297053515911102,-3.0995121002197266,0.03822063282132149
76,2.0339443683624268,0.5667065382003784,0.0,0.0,0.4310419261455536,-0.005607204977422953,-0.028948018327355385,-3.1009392738342285,0.03817029297351837
77,2.066415309906006,0.5667065382003784,0.0,0.0,0.4320361614227295,-0.02489546872675419,-0.0012788523454219103,-3.1029269695281982,0.03862043842673302
78,2.0770397186279297,0.5667065382003784,0.0,0.0,0.43767914175987244,-0.04853401705622673,0.006954827345907688,-3.1030354499816895,0.04004476219415665
79,2.1074087619781494,0.5667065382003784,0.0,0.0,0.4485434889793396,-0.07048163563013077,0.0011594563256949186,-3.1002652645111084,0.04166575148701668
80,2.1199514865875244,0.5667065382003784,0.0,0.0,0.4611853063106537,-0.0925225019454956,0.04347742348909378,-3.096369981765747,0.04420170187950134
81,2.1519057750701904,0.5667065382003784,0.0,0.0,0.4837784767150879,-0.11116261780261993,-0.0001063075615093112,-3.0928869247436523,0.04747815430164337
82,2.1662371158599854,0.5667065382003784,0.0,0.0,0.49772849678993225,-0.1158786192536354,-0.0918215662240982,-3.0913889408111572,0.04531947523355484
83,2.1922035217285156,0.5667065382003784,0.0,0.0,0.48461803793907166,-0.10961978882551193,-0.041431527584791183,-3.0889804363250732,0.047211553901433945
84,2.2029786109924316,0.5667065382003784,0.0,0.0,0.47017085552215576,-0.08856216818094254,0.005003770347684622,-3.0862526893615723,0.05696187913417816
85,2.2405130863189697,0.5667065382003784,0.0,0.0,0.4685886800289154,-0.05747288838028908,0.10109061002731323,-3.0882110595703125,0.06299939006567001
86,2.253103256225586,0.5667065382003784,0.0,0.0,0.47568097710609436,-0.034064389765262604,0.16038846969604492,-3.093214273452759,0.05888911709189415
87,2.2817628383636475,0.5667065382003784,0.0,0.0,0.48012787103652954,-0.017318103462457657,0.17392675578594208,-3.0968730449676514,0.05083414912223816
88,2.292546510696411,0.5667065382003784,0.0,0.0,0.48244374990463257,-9.187578689306974e-05,0.1792319267988205,-3.0990262031555176,0.044106375426054
89,2.323000907897949,0.5667065382003784,0.0,0.0,0.4869229197502136,0.021163979545235634,0.22828762233257294,-3.1014492511749268,0.03870526701211929
90,2.3347904682159424,0.5667065382003784,0.0,0.0,0.4884834289550781,0.039892517030239105,0.21547678112983704,-3.104288339614868,0.03418710082769394
91,2.36409592628479,0.5667065382003784,0.0,0.0,0.49525681138038635,0.06321120262145996,0.1702100932598114,-3.105626106262207,0.030567103996872902
92,2.381850004196167,0.5667065382003784,0.0,0.0,0.5017445683479309,0.08667013794183731,0.1411060392856598,-3.1064939498901367,0.02791711688041687
93,2.4171457290649414,0.5667065382003784,0.0,0.0,0.4894152581691742,0.11679165065288544,0.12481853365898132,-3.110821485519409,0.029569607228040695
