t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch,abs_roll,abs_pitch,force_L,force_R,force
0,0.04340791702270508,0.6593365669250488,0.0,0.0,-0.10554523020982742,-0.012205682694911957,-0.17851899564266205,3.138214349746704,-0.017391005530953407,3.138214349746704,0.017391005530953407,0.0,0.0,49.79473876953125
1,0.24670124053955078,0.6593365669250488,0.0,0.0,-0.013828135095536709,-0.04592403024435043,-0.13604380190372467,3.137655019760132,-0.06138050556182861,3.137655019760132,0.06138050556182861,0.0,0.0,61.553565979003906
2,0.28696584701538086,0.6593365669250488,0.0,0.0,0.08828805387020111,-0.07525203377008438,-0.1317756474018097,3.1357221603393555,-0.11897435039281845,3.1357221603393555,0.11897435039281845,0.0,0.0,50.10324478149414
3,0.334763765335083,0.6593365669250488,0.0,0.0,0.1263306438922882,-0.010852242819964886,0.025348082184791565,3.1312131881713867,-0.17667506635189056,3.1312131881713867,0.17667506635189056,0.0,0.0,92.82172393798828
4,0.3601853847503662,0.6593365669250488,0.0,0.0,0.2762037515640259,-0.09465354681015015,-0.12821485102176666,3.1265366077423096,-0.23656824231147766,3.1265366077423096,0.23656824231147766,0.0,0.0,69.53251647949219
5,0.40009069442749023,0.6593365669250488,0.0,0.0,0.41794848442077637,-0.17406830191612244,-0.23441731929779053,3.128760814666748,-0.29457929730415344,3.128760814666748,0.29457929730415344,0.0,0.0,33.7689323425293
6,0.41597437858581543,0.6593365669250488,0.0,0.0,0.5225555300712585,-0.19538366794586182,-0.22632651031017303,3.1330642700195312,-0.3389225900173187,3.1330642700195312,0.3389225900173187,0.0,0.0,95.51712799072266
7,0.4615967273712158,0.6593365669250488,0.0,0.0,0.5202075839042664,-0.13420432806015015,-0.22221815586090088,3.1405818462371826,-0.3636997938156128,3.1405818462371826,0.3636997938156128,0.0,0.0,90.2913818359375
8,0.4791696071624756,0.6593365669250488,0.0,0.0,0.43033015727996826,-0.15631240606307983,-0.5280448198318481,-3.1304399967193604,-0.35280266404151917,3.1304399967193604,0.35280266404151917,0.0,0.0,111.84371185302734
9,0.518773078918457,0.6593365669250488,0.0,0.0,0.24839651584625244,-0.4644647240638733,0.001192331314086914,-3.1114449501037598,-0.29204103350639343,3.1114449501037598,0.29204103350639343,3537.260498046875,0.0,61.2519416809082
10,0.5388000011444092,0.6593365669250488,0.0,0.0,0.15093658864498138,-0.45188575983047485,-0.13805890083312988,-3.021188735961914,-0.26555135846138,3.021188735961914,0.26555135846138,326.64068603515625,240.74618530273438,119.6697998046875
11,0.586669921875,0.6593365669250488,0.0,0.0,0.26985758543014526,-0.5054672360420227,-0.8684779405593872,-2.9790289402008057,-0.2368326038122177,2.9790289402008057,0.2368326038122177,165.134765625,260.4005432128906,75.54188537597656
12,0.6061487197875977,0.6593365669250488,0.0,0.0,0.39148932695388794,-0.47400957345962524,-1.032696008682251,-2.9732565879821777,-0.219191312789917,2.9732565879821777,0.219191312789917,0.0,274.97515869140625,104.40609741210938
13,0.644277811050415,0.6593365669250488,0.0,0.0,0.5551818609237671,-0.4471474289894104,-0.8774581551551819,-2.986753463745117,-0.2113260179758072,2.986753463745117,0.2113260179758072,0.0,280.3504638671875,81.1641616821289
14,0.66567063331604,0.6593365669250488,0.0,0.0,0.7088065147399902,-0.35865360498428345,-0.4766515791416168,-3.001983642578125,-0.2145097553730011,3.001983642578125,0.2145097553730011,0.0,270.90216064453125,74.42558288574219
15,0.7433710098266602,0.6593365669250488,0.0,0.0,0.6806943416595459,-0.26247912645339966,-0.0447336845099926,-3.0146069526672363,-0.21954037249088287,3.0146069526672363,0.21954037249088287,0.0,268.4025573730469,88.35045623779297
16,0.7618155479431152,0.6593365669250488,0.0,0.0,0.7515105605125427,-0.11609666794538498,0.4126949906349182,-3.021052598953247,-0.22581112384796143,3.021052598953247,0.22581112384796143,0.0,208.19879150390625,12.290231704711914
17,0.8003795146942139,0.6593365669250488,0.0,0.0,0.7758645415306091,-0.10657057166099548,0.5439000725746155,-3.0200085639953613,-0.23575814068317413,3.0200085639953613,0.23575814068317413,0.0,106.98649597167969,70.16636657714844
18,0.8193619251251221,0.6593365669250488,0.0,0.0,0.7106797695159912,-0.18629726767539978,0.4858399033546448,-3.020749807357788,-0.23256643116474152,3.020749807357788,0.23256643116474152,0.0,43.430702209472656,41.23397445678711
19,0.8588252067565918,0.6593365669250488,0.0,0.0,0.6945304870605469,-0.24641752243041992,0.33259478211402893,-3.041445732116699,-0.21218247711658478,3.041445732116699,0.21218247711658478,0.0,0.0,68.81710815429688
20,0.8786425590515137,0.6593365669250488,0.0,0.0,0.6445943117141724,-0.17142419517040253,0.3562537729740143,-3.0662777423858643,-0.18204133212566376,3.0662777423858643,0.18204133212566376,189.67343139648438,0.0,42.24220657348633
21,0.9237658977508545,0.6593365669250488,0.0,0.0,0.49632275104522705,-0.18214094638824463,0.15271760523319244,-3.0782058238983154,-0.1567775458097458,3.0782058238983154,0.1567775458097458,266.47784423828125,0.0,103.63607025146484
22,0.9490303993225098,0.6593365669250488,0.0,0.0,0.5165290236473083,-0.2490517646074295,-0.1221340000629425,-3.086794853210449,-0.12948119640350342,3.086794853210449,0.12948119640350342,271.8962707519531,26.610492706298828,26.432735443115234
23,0.9877350330352783,0.6593365669250488,0.0,0.0,0.4113789200782776,-0.2660275995731354,-0.22435101866722107,-3.089709520339966,-0.10387692600488663,3.089709520339966,0.10387692600488663,264.8034362792969,0.0,49.836341857910156
24,1.0077037811279297,0.6593365669250488,0.0,0.0,0.35590919852256775,-0.22148345410823822,-0.08902788162231445,-3.0871686935424805,-0.08088957518339157,3.0871686935424805,0.08088957518339157,204.88853454589844,104.94729614257812,96.56585693359375
25,1.0481195449829102,0.6593365669250488,0.0,0.0,0.4399271309375763,-0.2881081998348236,-0.3282533288002014,-3.0822978019714355,-0.07042676955461502,3.0822978019714355,0.07042676955461502,114.32559204101562,130.0137176513672,47.16422653198242
26,1.0734219551086426,0.6593365669250488,0.0,0.0,0.503010630607605,-0.24674859642982483,-0.269367516040802,-3.0799834728240967,-0.06540518999099731,3.0799834728240967,0.06540518999099731,53.78845977783203,162.04833984375,116.02474212646484
27,1.1115522384643555,0.6593365669250488,0.0,0.0,0.429296612739563,-0.302199125289917,-0.2883346676826477,-3.080965518951416,-0.050744980573654175,3.080965518951416,0.050744980573654175,0.0,203.3988037109375,80.87298583984375
28,1.130307912826538,0.6593365669250488,0.0,0.0,0.5794220566749573,-0.22201307117938995,-0.037781842052936554,-3.081688642501831,-0.0433318205177784,3.081688642501831,0.0433318205177784,0.0,195.13504028320312,113.37294006347656
29,1.1683108806610107,0.6593365669250488,0.0,0.0,0.5133770704269409,-0.09842342883348465,0.2432807981967926,-3.0808451175689697,-0.04150812327861786,3.0808451175689697,0.04150812327861786,0.0,222.6531219482422,25.127647399902344
30,1.1860556602478027,0.6593365669250488,0.0,0.0,0.5727710127830505,-0.02819577418267727,0.3342737555503845,-3.078890800476074,-0.042499903589487076,3.078890800476074,0.042499903589487076,0.0,215.06954956054688,107.49456024169922
31,1.2223575115203857,0.6593365669250488,0.0,0.0,0.4908688962459564,0.05636129900813103,0.4296519160270691,-3.0794503688812256,-0.03769522160291672,3.0794503688812256,0.03769522160291672,0.0,179.97515869140625,62.02020263671875
32,1.2409563064575195,0.6593365669250488,0.0,0.0,0.4386100471019745,0.09158322215080261,0.31404909491539,-3.0926575660705566,-0.01901037059724331,3.0926575660705566,0.01901037059724331,0.0,153.85260009765625,104.33899688720703
33,1.2778170108795166,0.6593365669250488,0.0,0.0,0.3994542956352234,-0.005134805105626583,-0.33894357085227966,-3.118415355682373,0.009301495738327503,3.118415355682373,0.009301495738327503,0.0,137.71290588378906,56.75910949707031
34,1.2970266342163086,0.6593365669250488,0.0,0.0,0.4003629982471466,-0.027848394587635994,-0.615298330783844,3.1412177085876465,0.030271880328655243,3.1412177085876465,0.030271880328655243,89.66742706298828,132.3660430908203,93.95570373535156
35,1.3354275226593018,0.6593365669250488,0.0,0.0,0.5406010150909424,0.011100423522293568,-0.4296110272407532,3.1225311756134033,0.04093782603740692,3.1225311756134033,0.04093782603740692,126.15784454345703,129.42604064941406,65.65779876708984
36,1.3547587394714355,0.6593365669250488,0.0,0.0,0.583290696144104,-0.042408645153045654,-0.18967339396476746,3.114957571029663,0.043458081781864166,3.114957571029663,0.043458081781864166,165.47865295410156,89.71089172363281,26.294721603393555
37,1.3988010883331299,0.6593365669250488,0.0,0.0,0.5786140561103821,-0.06001173332333565,0.010479530319571495,3.116943836212158,0.04516777768731117,3.116943836212158,0.04516777768731117,183.93536376953125,39.98862075805664,94.74604797363281
38,1.4200959205627441,0.6593365669250488,0.0,0.0,0.45021161437034607,-0.09160955995321274,-0.09589153528213501,3.1216866970062256,0.05277715623378754,3.1216866970062256,0.05277715623378754,191.89907836914062,0.0,94.49898529052734
39,1.4576160907745361,0.6593365669250488,0.0,0.0,0.4121169149875641,0.028833016753196716,-0.008318162523210049,3.1229729652404785,0.05637549236416817,3.1229729652404785,0.05637549236416817,198.68917846679688,0.0,104.49230194091797
40,1.478445053100586,0.6593365669250488,0.0,0.0,0.30182284116744995,-0.0416080541908741,-0.19798493385314941,3.1258835792541504,0.05792995169758797,3.1258835792541504,0.05792995169758797,182.4668426513672,0.0,112.23356628417969
41,1.5156128406524658,0.6593365669250488,0.0,0.0,0.17983856797218323,-0.10250016301870346,-0.32166868448257446,3.1320109367370605,0.06332273781299591,3.1320109367370605,0.06332273781299591,164.06085205078125,0.0,60.60757064819336
42,1.536872386932373,0.6593365669250488,0.0,0.0,0.2797415554523468,-0.06079965829849243,-0.2668328285217285,3.1412580013275146,0.05912913382053375,3.1412580013275146,0.05912913382053375,164.6448211669922,29.41935920715332,56.8730583190918
43,1.5770773887634277,0.6593365669250488,0.0,0.0,0.24525974690914154,-0.020692942664027214,-0.13257932662963867,-3.1353092193603516,0.041745662689208984,3.1353092193603516,0.041745662689208984,125.02721405029297,105.29711151123047,80.24319458007812
44,1.5964138507843018,0.6593365669250488,0.0,0.0,0.15831837058067322,-0.017637450248003006,0.03176729381084442,-3.131504774093628,0.038419440388679504,3.131504774093628,0.038419440388679504,85.52764129638672,154.31805419921875,71.49752807617188
45,1.6399033069610596,0.6593365669250488,0.0,0.0,0.11658812314271927,-0.0421125628054142,-0.05188519507646561,-3.127981662750244,0.051542919129133224,3.127981662750244,0.051542919129133224,36.99868392944336,183.56387329101562,60.328514099121094
46,1.658672571182251,0.6593365669250488,0.0,0.0,0.12571541965007782,-0.06289256364107132,-0.15030884742736816,-3.1317105293273926,0.06767623126506805,3.1317105293273926,0.06767623126506805,0.0,202.7827911376953,92.62826538085938
47,1.70330810546875,0.6593365669250488,0.0,0.0,0.25071755051612854,0.08446453511714935,-0.07678204774856567,3.1332106590270996,0.07756240665912628,3.1332106590270996,0.07756240665912628,0.0,200.68678283691406,86.36366271972656
48,1.7236926555633545,0.6593365669250488,0.0,0.0,0.2143455445766449,0.038575224578380585,-0.30603843927383423,3.116666316986084,0.08794095367193222,3.116666316986084,0.08794095367193222,0.0,182.087158203125,67.86002349853516
49,1.7663929462432861,0.6593365669250488,0.0,0.0,0.313246488571167,0.13833487033843994,-0.3231407403945923,3.1082608699798584,0.08972034603357315,3.1082608699798584,0.08972034603357315,233.00543212890625,156.261474609375,18.97307586669922
50,1.7841551303863525,0.6593365669250488,0.0,0.0,0.33823591470718384,0.14690104126930237,-0.2320728302001953,3.0975964069366455,0.08787202835083008,3.0975964069366455,0.08787202835083008,0.0,115.98269653320312,27.420955657958984
51,1.8610823154449463,0.6593365669250488,0.0,0.0,0.3994322419166565,0.1498357504606247,-0.03496771305799484,3.0963361263275146,0.08445625007152557,3.0963361263275146,0.08445625007152557,168.01132202148438,54.881317138671875,56.122440338134766
52,1.881199598312378,0.6593365669250488,0.0,0.0,0.34374263882637024,0.11582678556442261,0.03144041448831558,3.1070971488952637,0.08491942286491394,3.1070971488952637,0.08491942286491394,184.22647094726562,40.052459716796875,55.300941467285156
